ds,yhat
2021-03-27,63.41413404141569
2021-03-28,70.84539753473639
2021-03-29,71.57206898101342
2021-03-30,73.21945405231489
2021-03-31,64.55377371225478
2021-04-01,64.68673795907581
2021-04-02,63.64249991895251
2021-04-03,62.53060928344904
2021-04-04,70.62069199948067
2021-04-05,72.0425569842603
2021-04-06,74.4065606021689
2021-04-07,66.46354669658153
2021-04-08,67.30982081218389
2021-04-09,66.95449983044314
2021-04-10,66.49284425363527
2021-04-11,75.18128861617684
2021-04-12,77.13786100843959
2021-04-13,79.96281365159365
2021-04-14,72.39877534603832
2021-04-15,73.53587929632185
2021-04-16,73.37920440572088
2021-04-17,73.02213622209652
2021-04-18,81.721364036719
2021-04-19,83.59720815167537
2021-04-20,86.25410416122543
2021-04-21,78.4405616565194
2021-04-22,79.2540588730536
2021-04-23,78.7082205267231
2021-04-24,77.905894977202
2021-04-25,86.1138576257153
2021-04-26,87.46284505096685
2021-04-27,89.56775692928144
2021-04-28,81.18735270768326
2021-04-29,81.42891313546409
2021-04-30,80.3152212173614
2021-05-01,78.9574845208308
2021-05-02,86.62992984458398
2021-05-03,87.46977694163277
2021-05-04,89.09742868452227
2021-05-05,80.27620299716192
2021-05-06,80.1170731724256
2021-05-07,78.64576591485753
2021-05-08,76.97583227660634
2021-05-09,84.38341441260735
2021-05-10,85.00740582288535
2021-05-11,86.46983270088597
2021-05-12,77.53577169144755
2021-05-13,77.31826070208079
2021-05-14,75.84554257683077
2021-05-15,74.23424808179837
2021-05-16,81.76423356149154
2021-05-17,82.57876483013143
2021-05-18,84.3048705368719
2021-05-19,75.71317786279135
2021-05-20,75.92268682468891
2021-05-21,74.9678247815106
2021-05-22,73.97139153615807
2021-05-23,82.21911642528188
2021-05-24,83.85952693866685
2021-05-25,86.52396182028565
2021-05-26,78.98605267809627
2021-05-27,80.36614267425747
2021-05-28,80.69799693621533
2021-05-29,81.101428461043
2021-05-30,90.85657418534106
2021-05-31,94.10353350659881
2021-06-01,98.46221391652821
2021-06-02,92.69171820790055
2021-06-03,95.89475029819087
2021-06-04,98.08440077849721
2021-06-05,100.3569399606239
2021-06-06,111.96635446992693
2021-06-07,117.0243382632799
2021-06-08,123.12057854232793
2021-06-09,118.98266389828922
2021-06-10,123.68108207929981
2021-06-11,127.19665620878723
2021-06-12,130.59403277478236
2021-06-13,143.09694110316278
2021-06-14,148.78891739919123
2021-06-15,155.2343150437257
2021-06-16,151.13890921281484
2021-06-17,155.55554399823248
2021-06-18,158.4521522426832
2021-06-19,160.88574393545412
2021-06-20,172.07806706697815
2021-06-21,176.11662035749737
2021-06-22,180.57582845308357
2021-06-23,174.17767951004615
2021-06-24,175.99726843482358
2021-06-25,176.0305745246783
2021-06-26,175.36807144303026
2021-06-27,183.26987908650887
2021-06-28,183.8661459038198
2021-06-29,184.77748470802214
2021-06-30,174.83820196022197
2021-07-01,173.11065901091075
2021-07-02,169.6423602244858
2021-07-03,165.57514214569693
2021-07-04,170.21931937489484
2021-07-05,167.75307486234095
2021-07-06,165.84194131092937
2021-07-07,153.29771201560214
2021-07-08,149.28226414841245
2021-07-09,143.87366328065613
2021-07-10,138.23818638359407
2021-07-11,141.70401039334004
2021-07-12,138.46028965609517
2021-07-13,136.17647634510215
2021-07-14,123.66122575204798
2021-07-15,120.06636910063138
2021-07-16,115.45331838124159
2021-07-17,110.9655323304645
2021-07-18,115.90277891769554
2021-07-19,114.42090263455304
2021-07-20,114.15193277129617
2021-07-21,103.86385427043643
2021-07-22,102.66550164106735
2021-07-23,100.57391701803877
2021-07-24,98.68777746125761
2021-07-25,106.26260286788408
2021-07-26,107.4114294928257
2021-07-27,109.72576327939981
2021-07-28,101.93611451869901
2021-07-29,103.11755669353178
2021-07-30,103.4075691821541
2021-07-31,103.73009095409046
2021-08-01,113.32082186009467
